unit,coicop,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
INX_A_AVG,CP00,AL	: 	: 	: 	: 	: 	101.51 d	104.76 d	106.59 d	108.39 d	110.74 d	113.26 d	120.69 d
INX_A_AVG,CP00,AT	93.35 	95.75 	97.77 	99.20 	100.00 	100.97 	103.22 	105.41 	106.98 	108.47 	111.46 	121.07 
INX_A_AVG,CP00,BE	95.18 	97.68 	98.90 	99.38 	100.00 	101.77 	104.03 	106.44 	107.77 	108.23 	111.71 	123.26 
INX_A_AVG,CP00,BG	99.94 	102.33 	102.72 	101.08 	100.00 	98.68 	99.85 	102.48 	104.99 	106.27 	109.30 	123.52 
INX_A_AVG,CP00,CH	101.49 	100.76 	100.83 	100.84 	100.00 	99.47 	100.11 	101.03 	101.41 	100.56 	101.04 	103.74 
INX_A_AVG,CP00,CY	98.40 	101.45 	101.84 	101.57 	100.00 	98.78 	99.45 	100.23 	100.78 	99.67 	101.92 	110.17 
INX_A_AVG,CP00,CZ	94.6 	98.0 	99.3 	99.8 	100.0 	100.7 	103.1 	105.1 	107.8 	111.4 	115.1 	132.1 
INX_A_AVG,CP00,DE	95.0 	97.0 	98.6 	99.3 	100.0 	100.4 	102.1 	104.0 	105.5 	105.8 	109.2 	118.7 
INX_A_AVG,CP00,DK	96.6 	98.9 	99.4 	99.8 	100.0 	100.0 	101.1 	101.8 	102.5 	102.9 	104.9 	113.8 
INX_A_AVG,CP00,EA19	95.67 	98.06 	99.38 	99.81 	100.00 	100.23 	101.78 	103.56 	104.80 	105.06 	107.78 	116.82 
INX_A_AVG,CP00,EA20	95.66 	98.06 	99.39 	99.81 	100.00 	100.23 	101.77 	103.55 	104.79 	105.05 	107.77 	116.83 
INX_A_AVG,CP00,EE	92.43 	96.33 	99.46 	99.93 	100.00 	100.80 	104.48 	108.05 	110.50 	109.80 	114.72 	137.03 
INX_A_AVG,CP00,EL	102.36 	103.42 	102.54 	101.11 	100.00 	100.02 	101.15 	101.94 	102.46 	101.17 	101.75 	111.21 
INX_A_AVG,CP00,ES	96.94 	99.31 	100.83 	100.63 	100.00 	99.66 	101.69 	103.46 	104.26 	103.91 	107.04 	115.95 
INX_A_AVG,CP00,EU27_2020	95.69 	98.19 	99.49 	99.89 	100.00 	100.18 	101.74 	103.57 	105.04 	105.76 	108.82 	118.82 
INX_A_AVG,CP00,FI	93.85 	96.81 	98.96 	100.16 	100.00 	100.39 	101.23 	102.42 	103.58 	103.98 	106.12 	113.74 
INX_A_AVG,CP00,FR	96.20 	98.33 	99.31 	99.91 	100.00 	100.31 	101.47 	103.60 	104.95 	105.50 	107.68 	114.04 
INX_A_AVG,CP00,HR	94.59 	97.76 	100.04 	100.26 	100.00 	99.37 	100.67 	102.23 	103.04 	103.06 	105.82 	117.11 
INX_A_AVG,CP00,HU	92.98 	98.24 	99.92 	99.94 	100.00 	100.45 	102.84 	105.84 	109.46 	113.15 	119.04 	137.22 
INX_A_AVG,CP00,IE	97.4 	99.2 	99.7 	100.0 	100.0 	99.8 	100.1 	100.8 	101.7 	101.2 	103.6 	112.0 
INX_A_AVG,CP00,IS	89.46 	94.84 	98.76 	99.74 	100.00 	100.79 	99.13 	99.86 	101.85 	103.06 	106.84 	112.96 
INX_A_AVG,CP00,IT	95.3 	98.4 	99.7 	99.9 	100.0 	99.9 	101.3 	102.5 	103.2 	103.0 	105.0 	114.2 
INX_A_AVG,CP00,LT	96.24 	99.28 	100.44 	100.68 	100.00 	100.68 	104.42 	107.07 	109.47 	110.63 	115.75 	137.57 
INX_A_AVG,CP00,LU	94.85 	97.59 	99.25 	99.94 	100.00 	100.04 	102.15 	104.21 	105.93 	105.93 	109.61 	118.55 
INX_A_AVG,CP00,LV	96.88 	99.09 	99.11 	99.79 	100.00 	100.10 	103.00 	105.63 	108.53 	108.62 	112.14 	131.47 
INX_A_AVG,CP00,ME	: 	: 	: 	: 	100.00 d	99.93 d	102.68 d	105.39 d	105.94 d	105.39 d	108.03 d	120.92 d
INX_A_AVG,CP00,MK	95.52 d	97.26 d	99.91 d	99.87 d	100.00 d	100.24 d	102.35 d	104.66 d	105.42 d	106.73 d	110.36 d	125.83 d
INX_A_AVG,CP00,MT	94.10 	97.13 	98.08 	98.84 	100.00 	100.90 	102.18 	103.95 	105.54 	106.37 	107.12 	113.69 
INX_A_AVG,CP00,NL	94.32 	96.99 	99.47 	99.79 	100.00 	100.11 	101.40 	103.02 	105.78 	106.96 	109.98 	122.78 
INX_A_AVG,CP00,NO	94.0 	94.3 	96.2 	98.0 	100.0 	103.9 	105.8 	109.0 	111.5 	112.8 	117.2 	124.5 
INX_A_AVG,CP00,PL	96.3 	99.8 	100.6 	100.7 	100.0 	99.8 	101.4 	102.6 	104.8 	108.6 	114.3 	129.4 
INX_A_AVG,CP00,PT	96.54 	99.22 	99.65 	99.50 	100.00 	100.64 	102.20 	103.40 	103.71 	103.58 	104.55 	113.03 
INX_A_AVG,CP00,RO	92.84 	95.98 	99.04 	100.41 	100.00 	98.93 	100.00 	104.08 	108.15 	110.67 	115.21 	129.06 
INX_A_AVG,CP00,RS	83.3 d	89.4 d	96.3 d	98.5 d	100.0 d	101.3 d	104.7 d	106.8 d	108.8 d	110.7 d	115.2 d	128.7 d
INX_A_AVG,CP00,SE	97.75 	98.66 	99.10 	99.30 	100.00 	101.14 	103.02 	105.12 	106.93 	107.63 	110.49 	119.39 
INX_A_AVG,CP00,SI	95.81 	98.50 	100.40 	100.77 	100.00 	99.85 	101.40 	103.36 	105.11 	104.82 	106.97 	116.94 
INX_A_AVG,CP00,SK	95.43 	99.00 	100.45 	100.35 	100.00 	99.52 	100.90 	103.46 	106.33 	108.47 	111.53 	125.05 
INX_A_AVG,CP00,TR	72.79 d	79.31 d	85.22 d	92.81 d	100.00 d	107.66 d	119.63 d	139.17 d	160.30 d	179.98 d	215.24 d	370.82 d
INX_A_AVG,CP00,UK	93.4 	96.1 	98.5 	100.0 	100.0 	100.7 	103.4 	105.9 	107.8 	: 	: 	: 
INX_A_AVG,CP00,US	96.20 d	98.23 d	99.46 d	100.76 d	100.00 d	100.57 d	102.34 d	104.55 d	105.99 d	106.80 d	112.50 d	122.27 d
INX_A_AVG,CP00,XK	: 	: 	: 	: 	: 	100.27 d	101.77 d	102.84 d	105.59 d	105.80 d	109.35 d	122.01 d
